match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Lecce vs Atalanta,Lecce,Atalanta,2026-04-06 13:00:00+00:00,Home Win,0.8249436616897583,5.0,0.2,0.6249436616897583,3.1247183084487915,19.529489427804947,0.8249436616897583
Inter vs AS Roma,Inter,AS Roma,2026-04-05 18:45:00+00:00,Away Win,0.7209262251853943,5.63,0.17761989342806395,0.5433063317573303,3.0588146477937697,16.51627779586269,0.7209262251853943
Mallorca vs Real Madrid,Mallorca,Real Madrid,2026-04-04 14:15:00+00:00,Home Win,0.6316215395927429,6.0,0.16666666666666666,0.4649548729260763,2.7897292375564575,13.948646187782288,0.6316215395927429
Girona vs Villarreal,Girona,Villarreal,2026-04-06 19:00:00+00:00,Home Win,0.6702978610992432,3.3,0.30303030303030304,0.3672675580689401,1.2119829416275023,13.173727626385896,0.6702978610992432
Napoli vs AC Milan,Napoli,AC Milan,2026-04-06 18:45:00+00:00,Home Win,0.8249436616897583,2.68,0.3731343283582089,0.4518093333315494,1.2108490133285523,18.01858650786536,0.8249436616897583
Angers vs Lyon,Angers,Lyon,2026-04-05 13:00:00+00:00,Home Win,0.4465157687664032,4.9,0.2040816326530612,0.242434136113342,1.1879272669553758,7.614918377919075,0.4465157687664032
Metz vs Nantes,Metz,Nantes,2026-04-05 15:15:00+00:00,Away Win,0.8492740988731384,2.54,0.39370078740157477,0.45557331147156366,1.1571562111377716,18.785003427561225,0.8492740988731384
Cremonese vs Bologna,Cremonese,Bologna,2026-04-05 13:00:00+00:00,Home Win,0.5665967464447021,3.68,0.2717391304347826,0.29485761600991955,1.085076026916504,10.121977863027091,0.5665967464447021
Getafe vs Athletic Club,Getafe,Athletic Club,2026-04-05 12:00:00+00:00,Home Win,0.6316215395927429,3.1,0.3225806451612903,0.3090408944314526,0.9580267727375031,11.405080627827417,0.6316215395927429
Lille vs Lens,Lille,Lens,2026-04-04 19:05:00+00:00,Home Win,0.6607394218444824,2.72,0.3676470588235294,0.29309236302095304,0.7972112274169922,11.587372491526049,0.6607394218444824
Juventus vs Genoa,Juventus,Genoa,2026-04-06 16:00:00+00:00,Away Win,0.16703273355960846,10.0,0.1,0.06703273355960845,0.6703273355960846,1.8620203766557906,0.7021985054016113
Werder Bremen vs RB Leipzig,Werder Bremen,RB Leipzig,2026-04-04 13:30:00+00:00,Home Win,0.4744396209716797,3.46,0.28901734104046245,0.18542227993121724,0.6415610885620118,6.519929761809062,0.4744396209716797
Monaco vs Marseille,Monaco,Marseille,2026-04-05 18:45:00+00:00,Home Win,0.6944338083267212,2.3,0.4347826086956522,0.259651199631069,0.5971977591514586,11.484572291374205,0.6944338083267212
Sassuolo vs Cagliari,Sassuolo,Cagliari,2026-04-04 13:00:00+00:00,Home Win,0.6897764801979065,2.06,0.4854368932038835,0.204339586994023,0.4209395492076874,9.92781955678508,0.6897764801979065
Le Havre vs Auxerre,Le Havre,Auxerre,2026-04-05 15:15:00+00:00,Away Win,0.40062496066093445,3.34,0.29940119760479045,0.101223763056144,0.338087368607521,3.6120445364051386,0.43981030583381653
Lazio vs Parma,Lazio,Parma,2026-04-04 18:45:00+00:00,Home Win,0.6897764801979065,1.87,0.53475935828877,0.15501712190913652,0.28988201797008517,8.329943045117389,0.6897764801979065
Strasbourg vs Nice,Strasbourg,Nice,2026-04-04 15:00:00+00:00,Home Win,0.6722811460494995,1.89,0.5291005291005292,0.14318061694897033,0.27061136603355396,7.601442866111068,0.6722811460494995
